Month of Period End,Region,Avg. Median Sale Price
February 2012,"San Diego, CA metro area",$300K
March 2012,"San Diego, CA metro area",$320K
April 2012,"San Diego, CA metro area",$326K
May 2012,"San Diego, CA metro area",$330K
June 2012,"San Diego, CA metro area",$335K
July 2012,"San Diego, CA metro area",$342K
August 2012,"San Diego, CA metro area",$345K
September 2012,"San Diego, CA metro area",$350K
October 2012,"San Diego, CA metro area",$355K
November 2012,"San Diego, CA metro area",$355K
December 2012,"San Diego, CA metro area",$368K
January 2013,"San Diego, CA metro area",$352K
February 2013,"San Diego, CA metro area",$355K
March 2013,"San Diego, CA metro area",$385K
April 2013,"San Diego, CA metro area",$400K
May 2013,"San Diego, CA metro area",$415K
June 2013,"San Diego, CA metro area",$420K
July 2013,"San Diego, CA metro area",$425K
August 2013,"San Diego, CA metro area",$420K
September 2013,"San Diego, CA metro area",$425K
October 2013,"San Diego, CA metro area",$412K
November 2013,"San Diego, CA metro area",$415K
December 2013,"San Diego, CA metro area",$416K
January 2014,"San Diego, CA metro area",$408K
February 2014,"San Diego, CA metro area",$413K
March 2014,"San Diego, CA metro area",$430K
April 2014,"San Diego, CA metro area",$439K
May 2014,"San Diego, CA metro area",$442K
June 2014,"San Diego, CA metro area",$452K
July 2014,"San Diego, CA metro area",$452K
August 2014,"San Diego, CA metro area",$448K
September 2014,"San Diego, CA metro area",$450K
October 2014,"San Diego, CA metro area",$445K
November 2014,"San Diego, CA metro area",$435K
December 2014,"San Diego, CA metro area",$440K
January 2015,"San Diego, CA metro area",$442K
February 2015,"San Diego, CA metro area",$442K
March 2015,"San Diego, CA metro area",$460K
April 2015,"San Diego, CA metro area",$460K
May 2015,"San Diego, CA metro area",$468K
June 2015,"San Diego, CA metro area",$482K
July 2015,"San Diego, CA metro area",$480K
August 2015,"San Diego, CA metro area",$473K
September 2015,"San Diego, CA metro area",$464K
October 2015,"San Diego, CA metro area",$463K
November 2015,"San Diego, CA metro area",$472K
December 2015,"San Diego, CA metro area",$470K
January 2016,"San Diego, CA metro area",$475K
February 2016,"San Diego, CA metro area",$465K
March 2016,"San Diego, CA metro area",$485K
April 2016,"San Diego, CA metro area",$499K
May 2016,"San Diego, CA metro area",$500K
June 2016,"San Diego, CA metro area",$500K
July 2016,"San Diego, CA metro area",$500K
August 2016,"San Diego, CA metro area",$500K
September 2016,"San Diego, CA metro area",$503K
October 2016,"San Diego, CA metro area",$515K
November 2016,"San Diego, CA metro area",$495K
December 2016,"San Diego, CA metro area",$505K
January 2017,"San Diego, CA metro area",$510K
February 2017,"San Diego, CA metro area",$500K
March 2017,"San Diego, CA metro area",$520K
April 2017,"San Diego, CA metro area",$530K
May 2017,"San Diego, CA metro area",$540K
June 2017,"San Diego, CA metro area",$554K
July 2017,"San Diego, CA metro area",$545K
August 2017,"San Diego, CA metro area",$549K
September 2017,"San Diego, CA metro area",$545K
October 2017,"San Diego, CA metro area",$540K
November 2017,"San Diego, CA metro area",$550K
December 2017,"San Diego, CA metro area",$545K
January 2018,"San Diego, CA metro area",$535K
February 2018,"San Diego, CA metro area",$545K
March 2018,"San Diego, CA metro area",$560K
April 2018,"San Diego, CA metro area",$575K
May 2018,"San Diego, CA metro area",$575K
June 2018,"San Diego, CA metro area",$580K
July 2018,"San Diego, CA metro area",$588K
August 2018,"San Diego, CA metro area",$585K
September 2018,"San Diego, CA metro area",$580K
October 2018,"San Diego, CA metro area",$560K
November 2018,"San Diego, CA metro area",$560K
December 2018,"San Diego, CA metro area",$565K
January 2019,"San Diego, CA metro area",$555K
February 2019,"San Diego, CA metro area",$560K
March 2019,"San Diego, CA metro area",$565K
April 2019,"San Diego, CA metro area",$580K
May 2019,"San Diego, CA metro area",$585K
June 2019,"San Diego, CA metro area",$600K
July 2019,"San Diego, CA metro area",$585K
August 2019,"San Diego, CA metro area",$592K
September 2019,"San Diego, CA metro area",$575K
October 2019,"San Diego, CA metro area",$590K
November 2019,"San Diego, CA metro area",$600K
December 2019,"San Diego, CA metro area",$582K
January 2020,"San Diego, CA metro area",$600K
February 2020,"San Diego, CA metro area",$600K
March 2020,"San Diego, CA metro area",$599K
April 2020,"San Diego, CA metro area",$610K
May 2020,"San Diego, CA metro area",$598K
June 2020,"San Diego, CA metro area",$609K
July 2020,"San Diego, CA metro area",$642K
August 2020,"San Diego, CA metro area",$655K
September 2020,"San Diego, CA metro area",$660K
October 2020,"San Diego, CA metro area",$660K
November 2020,"San Diego, CA metro area",$660K
December 2020,"San Diego, CA metro area",$660K
January 2021,"San Diego, CA metro area",$655K
February 2021,"San Diego, CA metro area",$685K
March 2021,"San Diego, CA metro area",$700K
April 2021,"San Diego, CA metro area",$729K
May 2021,"San Diego, CA metro area",$760K
June 2021,"San Diego, CA metro area",$770K
July 2021,"San Diego, CA metro area",$760K
August 2021,"San Diego, CA metro area",$748K
September 2021,"San Diego, CA metro area",$759K
October 2021,"San Diego, CA metro area",$760K
November 2021,"San Diego, CA metro area",$775K
February 2012,"San Diego, CA - Western San Diego",$297K
March 2012,"San Diego, CA - Western San Diego",$300K
April 2012,"San Diego, CA - Western San Diego",$301K
May 2012,"San Diego, CA - Western San Diego",$337K
June 2012,"San Diego, CA - Western San Diego",$340K
July 2012,"San Diego, CA - Western San Diego",$350K
August 2012,"San Diego, CA - Western San Diego",$332K
September 2012,"San Diego, CA - Western San Diego",$345K
October 2012,"San Diego, CA - Western San Diego",$350K
November 2012,"San Diego, CA - Western San Diego",$380K
December 2012,"San Diego, CA - Western San Diego",$399K
January 2013,"San Diego, CA - Western San Diego",$407K
February 2013,"San Diego, CA - Western San Diego",$410K
March 2013,"San Diego, CA - Western San Diego",$390K
April 2013,"San Diego, CA - Western San Diego",$423K
May 2013,"San Diego, CA - Western San Diego",$434K
June 2013,"San Diego, CA - Western San Diego",$450K
July 2013,"San Diego, CA - Western San Diego",$439K
August 2013,"San Diego, CA - Western San Diego",$425K
September 2013,"San Diego, CA - Western San Diego",$410K
October 2013,"San Diego, CA - Western San Diego",$407K
November 2013,"San Diego, CA - Western San Diego",$400K
December 2013,"San Diego, CA - Western San Diego",$401K
January 2014,"San Diego, CA - Western San Diego",$408K
February 2014,"San Diego, CA - Western San Diego",$412K
March 2014,"San Diego, CA - Western San Diego",$421K
April 2014,"San Diego, CA - Western San Diego",$435K
May 2014,"San Diego, CA - Western San Diego",$437K
June 2014,"San Diego, CA - Western San Diego",$455K
July 2014,"San Diego, CA - Western San Diego",$448K
August 2014,"San Diego, CA - Western San Diego",$450K
September 2014,"San Diego, CA - Western San Diego",$437K
October 2014,"San Diego, CA - Western San Diego",$456K
November 2014,"San Diego, CA - Western San Diego",$473K
December 2014,"San Diego, CA - Western San Diego",$465K
January 2015,"San Diego, CA - Western San Diego",$460K
February 2015,"San Diego, CA - Western San Diego",$439K
March 2015,"San Diego, CA - Western San Diego",$471K
April 2015,"San Diego, CA - Western San Diego",$459K
May 2015,"San Diego, CA - Western San Diego",$460K
June 2015,"San Diego, CA - Western San Diego",$445K
July 2015,"San Diego, CA - Western San Diego",$485K
August 2015,"San Diego, CA - Western San Diego",$489K
September 2015,"San Diego, CA - Western San Diego",$486K
October 2015,"San Diego, CA - Western San Diego",$464K
November 2015,"San Diego, CA - Western San Diego",$450K
December 2015,"San Diego, CA - Western San Diego",$465K
January 2016,"San Diego, CA - Western San Diego",$466K
February 2016,"San Diego, CA - Western San Diego",$465K
March 2016,"San Diego, CA - Western San Diego",$440K
April 2016,"San Diego, CA - Western San Diego",$451K
May 2016,"San Diego, CA - Western San Diego",$450K
June 2016,"San Diego, CA - Western San Diego",$491K
July 2016,"San Diego, CA - Western San Diego",$505K
August 2016,"San Diego, CA - Western San Diego",$525K
September 2016,"San Diego, CA - Western San Diego",$535K
October 2016,"San Diego, CA - Western San Diego",$515K
November 2016,"San Diego, CA - Western San Diego",$495K
December 2016,"San Diego, CA - Western San Diego",$496K
January 2017,"San Diego, CA - Western San Diego",$500K
February 2017,"San Diego, CA - Western San Diego",$529K
March 2017,"San Diego, CA - Western San Diego",$512K
April 2017,"San Diego, CA - Western San Diego",$495K
May 2017,"San Diego, CA - Western San Diego",$495K
June 2017,"San Diego, CA - Western San Diego",$512K
July 2017,"San Diego, CA - Western San Diego",$538K
August 2017,"San Diego, CA - Western San Diego",$551K
September 2017,"San Diego, CA - Western San Diego",$554K
October 2017,"San Diego, CA - Western San Diego",$565K
November 2017,"San Diego, CA - Western San Diego",$558K
December 2017,"San Diego, CA - Western San Diego",$583K
January 2018,"San Diego, CA - Western San Diego",$575K
February 2018,"San Diego, CA - Western San Diego",$570K
March 2018,"San Diego, CA - Western San Diego",$575K
April 2018,"San Diego, CA - Western San Diego",$582K
May 2018,"San Diego, CA - Western San Diego",$590K
June 2018,"San Diego, CA - Western San Diego",$585K
July 2018,"San Diego, CA - Western San Diego",$585K
August 2018,"San Diego, CA - Western San Diego",$591K
September 2018,"San Diego, CA - Western San Diego",$585K
October 2018,"San Diego, CA - Western San Diego",$590K
November 2018,"San Diego, CA - Western San Diego",$604K
December 2018,"San Diego, CA - Western San Diego",$625K
